,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0144.HK,0175.HK,0267.HK,0293.HK,0386.HK,0388.HK,0700.HK,0762.HK,0836.HK,0857.HK,0883.HK,0939.HK,0941.HK,0968.HK,0981.HK,1038.HK,1044.HK,1093.HK,1109.HK,1113.HK,1299.HK,1928.HK,1997.HK,2318.HK,2319.HK,2388.HK,2628.HK,3888.HK
2019-01-02,0.005960569836134792,-0.001659171614054216,0.00777226245720831,0.018276358276896304,-0.002809840496680032,-0.0028096434833901666,0.0189505537860887,0.009209216749834905,-0.005633692631219426,0.006510720523031576,-0.005561012313749547,-0.005588757042843082,0.0029035472587924096,-0.022959362935893575,-0.020699013990156393,-0.006747450350891673,-0.012153973444013085,0.0037709679911432864,-0.01089628890625453,-0.016947644416023498,0.017587785227058648,-0.002709315605838428,0.0008103384562550861,-0.01709697823456148,-0.006532592694302192,0.001331071076518393,-0.013811922929067634,0.0045083762201480635,-0.00720766427902566,-0.0035003249975193215,-0.007220479346752763,0.022227338214107255,-0.00016196669685520704,-0.012692531147470805,0.009870538945238268,-0.014650123799652267,0.002506363140057065,-0.023516041486557306,-0.015938232586781165,0.0023623348304294823
2019-01-03,0.008861598959944926,0.0020564193742796458,-0.0013877793886588863,-0.0036132443470714656,-0.01774226388440913,-0.008638130500736503,-0.00552766525151745,0.012685466714626989,0.004123419474821537,-0.02115648186435281,0.00388900763273754,-0.004620987364995798,-0.008123064003671505,0.007340115466090415,0.012371994269951411,0.011175361429394383,-0.010070610278671663,-0.003710548510214575,0.0039751611768427675,0.01170654152546831,-0.005750090854143479,-0.0022279077199658056,-0.013276019688072339,-0.01435447948896805,0.009750309868730376,0.016274880342849875,-0.0008641214589640062,0.01204239477470429,0.00433963230057161,-0.007741437055261491,0.004336747266100967,0.01845643879759163,-0.00042991246931941846,0.018775723869768075,-0.031436941249076936,0.009862830052502686,0.0010445648188580547,-0.0035880882055904094,0.0011011293184260277,-0.023850826975210713
2019-01-04,-0.0026360626540501433,0.004285350858140957,0.017734728536898194,-0.006219242619283769,-0.009701923234718251,-0.0060210845230144385,0.01098482541242489,0.003945013315916214,-0.006357122445204466,0.006159209197360274,0.0011649305921764847,0.01162373988639467,-0.00842463712652823,-0.003931945759173218,-0.004705297837585892,-0.017562179377585422,0.0035534433247749126,0.003132663266158672,6.136147970953068e-05,-0.002815045600501763,-0.01698444890460497,-0.005047743873184308,-0.0041125741983212335,-0.009627327230659427,-0.0019354285399921097,0.004848610281774461,0.02263423081452636,0.0020949337539820675,0.0030906046886731726,-0.0008933509891940065,-0.0230252545835885,-0.00031816650539060257,0.0007227625192923172,0.029558905349823434,-0.0023083315773734705,0.0036185681080033497,-0.00041654123646291976,-0.014024136451434384,0.013713873774180247,0.00902319639224129
2019-01-07,0.009492383364516563,-0.010912649457536868,0.01683353173123319,-0.01682221275350737,0.007042285125603244,0.026285467509719742,-0.01188643590156826,-0.006795572755233263,0.0011958163810516947,-0.006041707849394391,-0.01860796117279359,0.0008227556976723279,-0.01274764456471326,0.005683109167622179,-0.011033090810805639,0.018599212860210473,-0.009399039508034845,-0.003864738194468107,0.009762206608436037,-0.014770371797207462,0.002729519215249553,0.015685713051389136,-0.01928979881473473,0.0022156063023876507,0.0031185935309810823,0.009381874461327724,-0.014843408530536983,-0.015845479357011315,0.006263298787402772,0.0035638160787982327,0.0030059142041505187,0.004157378513963708,-0.00816029665894189,0.0027870443659320427,0.003516869679584175,-0.008572217016316414,0.022389294133737078,0.005685995050941451,-0.014295641966431783,0.007878643303605957
2019-01-08,-0.011696180042727858,0.009445015244909425,0.013903146948088849,-0.009848187820220526,0.011560513550931862,0.0049533711232379795,0.00986472191993388,0.02276151579184737,-0.002944657392034446,-0.009044833972289876,-0.01067417315550628,-0.009789723419585259,-0.0009252205129692504,0.004093823697799727,0.003320289591960229,0.009926198988432286,0.00015602270253488424,0.017442408925887803,-0.003175881998855473,0.03264202999907543,0.0075080081731800745,-0.010285890676995391,-0.012850709976733349,0.005789668982918224,-0.002681553423910211,0.008568005929105104,0.005678851494882538,-0.0008739469518824734,-0.01016152461682086,-0.018178166696230375,-0.005358179424804253,0.010276785531881667,0.0025691249295624477,-0.014948865344543856,0.002078171110214184,0.004623808556746042,-0.010606289234413596,0.001844701271346335,0.0006985046213519988,-0.013715643573967477
2019-01-09,0.0042934483241793995,0.0067294143164188126,0.012996614918103324,0.012645624624418835,-0.016532032415485093,-0.011253900478981473,0.006180423206503917,0.006165431410946506,0.006180572235672575,0.04623277788785665,0.006850686128318004,0.013626787682167187,0.011448021161918428,0.007816695015669577,-0.0037832309356841476,0.009107630645919209,-0.009273902574450862,-0.0028418232808801068,-0.005824362573949242,0.0009824896726358706,0.027775902800082103,-0.022407182311100976,0.008235122284494162,-0.01935259045427582,-0.005663182389473202,0.013067407163608394,0.0007713602291455532,-0.012932937335151674,-0.008583644511119619,0.00815517298721611,-0.00876439958060564,0.002597503074983698,0.0005468620788457654,-0.007819204171269805,0.02572732907190391,0.007607028267816135,-0.024301711039891285,0.0022374517772331317,-0.007941437577220656,0.010229200017554688
2019-01-10,-0.009510248861192408,-0.0013768372976027882,0.006059847347765486,0.010389062330041459,-0.014403556884669315,-0.004014014830091381,-0.0056993437339314746,-0.007839950790884544,0.021185450883373164,0.004859780531531467,-0.015130607452020543,0.011014343364657312,0.0254658743641516,0.012389583126613762,-0.01823243959144816,-0.005810808874395016,0.015202933790239473,-0.008492033587425368,0.005325833137754741,0.009295608641152042,-0.011123165658936996,-0.000714304272741601,-0.03889520808082887,-0.012292651696011478,-0.0030308178167179236,-0.014973398183578195,0.019588935647179624,-0.01716169653552759,-0.005280533840363805,0.001568886927433096,0.017295279468793386,-0.017230345814153274,0.013957965025859515,0.0001227967322350446,-0.011778103812575411,0.005545241691159249,0.0023887163468816405,-0.007202602525905536,0.000837625019880227,-0.004623763162341123
2019-01-11,0.0013622081430149765,0.00794556809425256,0.019032201793744225,-0.014853785985922189,0.0255964004958752,-0.023425053594270023,-0.0018214211404269998,0.007059806477814919,0.003371902412820392,-0.007472394237847126,-0.0024974670042873025,-0.005916011215905994,-0.007072377083330538,0.010195225164252296,0.0042841858315805685,-0.00831491514312785,0.010795198505199008,0.003687594250519312,0.009754345426067521,0.007555546103083347,-0.009947940131064868,-0.006722172482363635,0.008967523261479142,0.007324443185201578,-0.0002508191275697776,0.001407928599705384,0.015331978749461099,-0.007098856666029959,0.0065651685740404555,-0.002426311829206729,-0.0026121744387266436,0.013185322223846281,0.009904996187856358,0.009762115632007663,0.01566574568585195,0.0002520460995931086,0.008183435655539566,-0.0037232010791214726,0.0038899962298613055,-0.001561716652412215
2019-01-14,0.0011639515799126182,0.007141884305242964,-0.00981864819880167,0.025108647308225523,-0.012072208577996424,-0.014570263353452786,0.013897330482000814,0.00949995232755523,0.007489437804625861,0.007540146111171359,-0.00014696127416297548,-0.010767052457829978,0.0009096546983247161,-0.00812594053814534,0.011701436801013014,-0.001764688578025664,-0.009905966361510138,-0.0038566300998359214,0.004955177451307492,-0.006764694633647697,-0.009866644746797177,0.0029242465379029476,0.0029395988533046733,-0.006083318104453558,-0.005652459667419873,0.0027845992482916355,-0.01737701209796789,-0.016889565292518664,-0.008621330655029232,-0.002561365820542167,0.003730890787176055,0.017704274603394625,0.010291915478424233,-0.0019192623595611254,-0.00022819449483226596,-0.012030352375653707,-0.00022215763190867917,-0.00346390366704166,0.003872622724057074,-0.009926771322627875
2019-01-15,0.006232158170894068,0.018392866956030932,-0.0013051217814822912,0.0048205406651872975,0.00828172790053335,-0.004814645662630035,0.0026891097817250014,0.00015110880938153833,0.0011721131825859806,-0.009276117406265598,0.00029412209110731257,0.005975979494945397,0.0174137232935405,0.011511249913022483,0.025838189490138677,-0.009208170754656594,0.010467847640648138,0.002200104068860221,0.02627763519861207,-0.009699579424261818,-0.010076662106169313,-0.007192711745328266,-0.025486748691717683,-0.006309060260169133,-0.009109591938644376,0.0018047254377144917,0.0041010717093259135,0.022514050070590635,0.011405086058232603,-0.0069228438679488375,-0.010780976056180296,0.0059030300580780685,-0.015842798484247706,0.021977505190252246,0.014153281448655445,-0.0056301078252564574,-0.02055761434909053,0.016246468489984955,-0.0013744781430314146,0.014853795743681541
